Albwerk GmbH & Co. KG;Ennabeurer Weg;0;72535;Heroldstatt;Baden-Württemberg;48.442398;9.659075;22
Albwerk GmbH & Co. KG;Parkplatz Campingplatz;0;72589;Westerheim;Baden-Württemberg;48.5105;9.61;22
EnBW mobility+ AG und Co.KG ;Hauptstraße;91c;73340;Amstetten;Baden-Württemberg;48.5785342;9.8748399;98
EnBW mobility+ AG und Co.KG ;Boschstr.;6;89134;Blaustein;Baden-Württemberg;48.416998;9.918955;30
EnBW mobility+ AG und Co.KG ;Äußerer Krautgartenweg;6;89143;Blaubeuren;Baden-Württemberg;48.4080307;9.790154;30
SWU Energie GmbH;Flurstraße;9;89143;Blaubeuren - Seißen;Baden-Württemberg;48.418242;9.748788;22
SWU Energie GmbH;Helfensteinerstraße;12;89143;Blaubeuren-Gerhausen;Baden-Württemberg;48.398975;9.805573;22
SWU Energie GmbH;Obere Straße;4;89143;Blaubeuren-Pappelau;Baden-Württemberg;48.369369;9.808528;22
SWU Energie GmbH;Am Brunnen;11;89143;Blaubeuren - Asch;Baden-Württemberg;48.437012;9.820351;22
EnBW mobility+ AG und Co.KG ;Hahnenweilerstr.;2;89160;Dornstadt (Tomerdingen);Baden-Württemberg;48.482237;9.911473;30
Lidl Dienstleistung GmbH & Co. KG;Lerchenbergstr.;18;89160;Dornstadt;Baden-Württemberg;48.461936;9.948326;75
Gemeinde Dornstadt;Hahnenweiler Str.;2;89160;Dornstadt;Baden-Württemberg;48.482306;9.911353;20
Gemeinde Dornstadt;Hauptstr.;11;89160;Dornstadt;Baden-Württemberg;48.513378;9.8507422;20
Gemeinde Dornstadt;Hirschstraße;8;89160;Dornstadt;Baden-Württemberg;48.464632;9.9415914;22
Gemeinde Dornstadt;Häringsgässle;2;89160;Dornstadt-Temmenhausen;Baden-Württemberg;48.490108;9.8618227;22
Donau-Iller Bank eG;Kirchstraße;2;89195;Staig;Baden-Württemberg;48.2995;9.99078;93
